['KINGCZ (KCZ)'],['KCZ'],['https://bscscan.com/token/0xd137aee522b0dabd50146896d0b458906279f8ce'],['54.0 secs'],['11 days 10 hrs ago'],['0.0491%'],"['$210,264']","['$755,034']","['$193,534']","['$210,264']",['4.26%']
['Are you a CU... (CUNT)'],['CUNT'],['https://bscscan.com/token/0xd69f393c4a76b7d0b3cdb41804d066c6ddf19490'],['18.0 secs'],['2 days 1 hr ago'],['0.0902%'],"['$90,845']","['$782,562']","['$92,799']","['$90,845']",['18358.79%']
['Shikoku Ino (SHIK)'],['SHIK'],['https://bscscan.com/token/0xaca41e217738352279ee67635b48f18dbb3294d8'],['24.0 secs'],['2 days 10 hrs ago'],['0.0823%'],[''],"['$469,933']","['$302,566']",[''],['0%']
['YOOSHI (YOOSHI)'],['YOOSHI'],['https://bscscan.com/token/0x02ff5065692783374947393723dba9599e59f591'],['4.8 secs'],['1 day 3 hrs ago'],['0.0798%'],"['$1,385,576']","['$9,384,394']","['$1,382,657']","['$1,385,576']",['7.64%']
['HUNGRY HAMST... (HAMST)'],['HAMST'],['https://bscscan.com/token/0xf9089e78e68b6f52497695b525cf9df12f591f67'],['1.0 mins'],['10 mins ago'],['0.3471%'],[''],['$401'],['$674'],[''],['0%']
['Mummy Token (Mummy)'],['Mummy'],['https://bscscan.com/token/0x6238bce7aae6a693e4463e5ac6b5b3227e104e0b'],['6.0 secs'],['5 days 3 hrs ago'],['0.0046%'],"['$25,785']","['$133,756']","['$91,493']","['$25,785']",['17.23%']
['Pancake LPs (Cake-L...)'],['Cake-L...'],['https://bscscan.com/token/0x7bb89460599dbf32ee3aa50798bbceae2a5f7f6a'],['1.9 secs'],['1 min ago'],['0.0004%'],[''],[''],[''],[''],['']
['SporeFinance (SPORE)'],['SPORE'],['https://bscscan.com/token/0x33a3d962955a3862c8093d1273344719f03ca17c'],['12.0 secs'],['7 days 20 hrs ago'],['0.0860%'],"['$1,179,777']","['$23,674,716']","['$681,657']","['$1,179,777']",['-8%']
['ANADOLU (ANA)'],['ANA'],['https://bscscan.com/token/0x216d036263f82975f36a5f0246d9c1ffaf9fb779'],['18.0 secs'],['1 day 18 hrs ago'],['0.0003%'],"['$13,483']","['$4,113,425']","['$4,218']","['$13,483']",['532.28%']
['SaferMoon (SAFERM...)'],['SAFERM...'],['https://bscscan.com/token/0xa656f993bd14b2b59a28d1e610476ad18849b107'],['48.0 secs'],['17 days 12 hrs ago'],['0.1159%'],"['$885,299']","['$63,319,810']","['$5,082,286']","['$885,299']",['-20.38%']
